symbol,price,confidence,suggested_option,option_price,option_value,regime,model_accuracy,model_coverage,dropped_features,leakage_flags
SAMMAANCAP,147.0,0.8352954545454545,CALL,0.0,0.0,low,0.88,1.0,10,
HCLTECH,1569.0,0.7975,CALL,0.0,0.0,low,0.88,1.0,10,
^CNXPHARMA,22188.55078125,0.7952941176470588,CALL,0.0,0.0,low,0.96,1.0,10,
^CNXPSUBANK,9147.75,0.7915821256038648,CALL,0.0,0.0,low,0.92,1.0,10,
RVNL,319.5,0.7728571428571428,CALL,0.0,0.0,low,0.88,1.0,10,
PREMIERENE,822.0999755859375,0.7636805555555556,CALL,0.0,0.0,low,0.96,1.0,9,
^NSEI,25916.80078125,0.763125,CALL,0.0,0.0,low,0.96,1.0,11,
^CNXFMCG,52084.94921875,0.76,CALL,0.0,0.0,low,0.96,1.0,10,
HDFCAMC,1569.0,0.7570588235294118,CALL,0.0,0.0,low,0.875,0.96,12,
WIPRO,231.47999572753906,0.73625,CALL,0.0,0.0,low,0.96,1.0,10,
SRF,2951.0,0.669198717948718,CALL,0.0,0.0,low,0.92,1.0,9,
DABUR,4418.2998046875,0.6646688034188034,CALL,0.0,0.0,low,0.96,1.0,9,
CUMMINSIND,4418.2998046875,0.6646688034188034,CALL,0.0,0.0,low,0.96,1.0,9,
TRENT,4176.0,0.6559375,CALL,0.0,0.0,low,0.96,1.0,10,
SIEMENS,3114.39990234375,0.6474107142857143,CALL,0.0,0.0,low,0.92,1.0,9,
^CNXAUTO,28173.75,0.6325,CALL,0.0,0.0,low,0.96,1.0,10,
AUROPHARMA,1131.0,0.63,CALL,0.0,0.0,low,0.96,1.0,9,
ADANIGREEN,2228.39990234375,0.5832727272727273,CALL,0.0,0.0,low,1.0,0.96,7,
ADANIENT,2228.39990234375,0.5832727272727273,CALL,0.0,0.0,low,1.0,0.96,7,
GRASIM,1820.800048828125,0.5551923076923078,CALL,0.0,0.0,low,1.0,0.96,9,
GODREJPROP,1820.800048828125,0.5551923076923078,CALL,0.0,0.0,low,1.0,0.96,9,
ZYDUSLIFE,887.0,0.555,CALL,0.0,0.0,low,1.0,0.96,9,
PGEL,602.1500244140625,0.5307142857142857,NEUTRAL,0.0,0.0,low,1.0,0.92,9,
SBIN,1143.0,0.529198717948718,NEUTRAL,0.0,0.0,low,1.0,0.92,9,
GLENMARK,164.3000030517578,0.5258190883190883,NEUTRAL,0.0,0.0,low,1.0,0.92,14,
GAIL,164.3000030517578,0.5258190883190883,NEUTRAL,0.0,0.0,low,1.0,0.92,14,
NIFTY 50,,0.52,NEUTRAL,0.0,0.0,low,0.0,0.0,0,
KOTAKBANK,1023.2999877929688,0.5145833333333333,NEUTRAL,0.0,0.0,low,1.0,0.96,9,
KFINTECH,1023.2999877929688,0.5145833333333333,NEUTRAL,0.0,0.0,low,1.0,0.96,9,
POWERINDIA,22391.0,0.5138232323232323,NEUTRAL,0.0,0.0,low,1.0,0.92,9,
