CE_chart,CE_OI,CE_Chng_OI,CE_Volume,CE_IV,CE_LTP,CE_Chng,CE_BidQty,CE_Bid,CE_Ask,CE_AskQty,Strike,PE_BidQty,PE_Bid,PE_Ask,PE_AskQty,PE_Chng,PE_LTP,PE_IV,PE_Volume,PE_Chng_OI,PE_OI,PE_chart
,13,-,1,154.36,"2,895.10",130.10,65,"2,804.00","2,888.75",195,"23,100.00","12,62,430",0.05,0.10,"6,60,530",-1.60,0.10,66.45,"2,51,469","-33,715","67,368",
,2,-,-,-,-,-,780,"2,746.30","2,845.50",780,"23,150.00","15,730",0.10,0.15,"35,685",-1.70,0.10,65.29,"39,128","-3,456","4,033",
,3,-,-,-,-,-,455,"2,693.10","2,796.95",130,"23,200.00","1,91,100",0.10,0.15,"3,40,730",-1.90,0.10,67.63,"86,672",246,"29,328",
,1,-,-,-,-,-,130,"2,511.10","2,746.40",130,"23,250.00","61,100",0.10,0.15,"31,395",-1.90,0.10,66.42,"20,952","-1,112","2,352",
,7,-1,3,123.16,"2,659.35",112.35,65,"2,589.00","2,661.25",130,"23,300.00","2,72,935",0.10,0.15,"1,21,485",-2.00,0.10,63.74,"65,822","-5,757","18,878",
,4,-,-,-,-,-,65,"2,530.65","2,647.85",130,"23,350.00","53,885",0.10,0.15,"46,020",-2.00,0.10,62.56,"18,662",428,"2,395",
,7,-,-,-,-,-,65,"2,490.60","2,597.05",130,"23,400.00","7,50,620",0.10,0.15,"1,53,205",-2.10,0.10,62.79,"73,401","-2,477","17,623",
,3,-,-,-,-,-,65,"2,453.15","2,546.30",130,"23,450.00","1,20,055",0.05,0.10,"17,420",-2.15,0.05,60.19,"35,176",170,"2,703",
,181,-26,186,83.36,"2,450.00",91.25,65,"2,448.60","2,457.80",195,"23,500.00","12,63,145",0.05,0.10,"3,14,990",-2.10,0.05,57.21,"1,34,082","-28,459","26,391",
,3,-,-,-,-,-,65,"2,349.90","2,422.40",65,"23,550.00","36,530",0.10,0.15,"42,380",-2.15,0.10,57.83,"29,072",-884,"2,872",
,6,-,-,-,-,-,65,"2,299.60","2,386.05",845,"23,600.00","1,65,750",0.05,0.10,"65,845",-2.40,0.05,54.91,"36,736","-1,362","4,908",
,2,-,-,-,-,-,65,"2,237.30","2,325.75",65,"23,650.00","29,055",0.10,0.15,"39,325",-2.25,0.10,53.76,"26,884",-772,"2,397",
,7,-,-,-,-,-,130,"2,189.60","2,285.35",845,"23,700.00","91,715",0.05,0.10,"1,30,520",-2.45,0.05,52.62,"54,029","-2,954","9,465",
,111,-19,130,100.35,"2,203.00",308.40,65,"2,190.55","2,207.75",65,"23,750.00","38,805",0.10,0.15,"14,365",-2.35,0.15,51.47,"24,392","-1,683","2,802",
,16,-,-,-,-,-,130,"2,103.60","2,172.00",65,"23,800.00","1,14,855",0.10,0.15,"27,755",-2.50,0.10,50.32,"75,525","-12,454","19,153",
,3,-,-,-,-,-,130,"2,050.30","2,133.40",845,"23,850.00","36,725",0.10,0.15,"19,695",-2.60,0.10,51.96,"39,985","-1,504","3,588",
,6,-,-,-,-,-,130,"1,999.00","2,098.60",130,"23,900.00","7,18,250",0.05,0.10,"2,34,975",-2.70,0.10,48.03,"68,832","-4,543","15,216",
,2,-,-,74.96,-,-,195,"1,937.90","2,024.20",65,"23,950.00","31,915",0.10,0.15,"57,070",-2.70,0.10,48.41,"69,044",529,"5,773",
,267,-120,271,-,"1,950.00",88.10,65,"1,950.20","1,955.80",65,"24,000.00","18,13,435",0.05,0.10,"6,99,725",-2.90,0.05,45.75,"4,98,878","-83,465","70,058",
,6,-,-,-,-,-,195,"1,840.70","1,943.55",845,"24,050.00","2,57,400",0.05,0.10,"47,190",-2.95,0.05,46.06,"61,622","-1,778","3,957",
,59,-,14,-,"1,820.85",65.85,195,"1,847.55","1,855.30",65,"24,100.00","2,99,325",0.10,0.15,"43,355",-3.00,0.10,45.96,"1,11,687","-13,662","15,668",
,3,-,1,87.27,"1,807.00",382.50,65,"1,797.00","1,807.80",65,"24,150.00","23,075",0.05,0.10,"64,740",-3.15,0.05,44.77,"74,273",313,"7,907",
,48,-,2,83.36,"1,754.10",96.50,65,"1,744.25","1,755.15",130,"24,200.00","5,42,165",0.05,0.10,"3,67,510",-3.30,0.05,42.53,"2,00,870","-27,665","22,502",
